Price,Area,Address,Beds,Bath,Pic
80 Lakh,5 Marla,Structure House For Sale,3,3,https://media.zameen.com/thumbnails/161857646-400x300.jpeg
75 Lakh,6.2 Marla,This Is Your Chance To Buy House In Near To Canal Road Harbanspura Raani Pind,5,No info given,https://media.zameen.com/thumbnails/161857646-400x300.jpeg
66 Lakh,5 Marla,5 Marla House Available For Sale In Hamza Town Society Low Price House,2,3,https://media.zameen.com/thumbnails/161857646-400x300.jpeg
66.5 Lakh,5 Marla,5 Marla Beautiful House Available For Sale Modern Design House,2,3,https://media.zameen.com/thumbnails/161857646-400x300.jpeg
92 Lakh,5 Marla,5 Marla Attractive Location House Available For Sale In Bedian Road Sj Garden Lahore,4,5,https://media.zameen.com/thumbnails/161857646-400x300.jpeg
95 Lakh,5 Marla,Newly Build 5 Marla House Available For Sale On Bedian Road,3,4,https://media.zameen.com/thumbnails/161857646-400x300.jpeg
88 Lakh,5 Marla,5 Marla House For Sale New Lahore City,3,3,https://media.zameen.com/thumbnails/161857646-400x300.jpeg
88 Lakh,5 Marla,5 Marla House For Sale Brand New,3,4,https://media.zameen.com/thumbnails/161857646-400x300.jpeg
62.5 Lakh,5 Marla,Double Storey House For Sale In Eden Garden,3,2,https://media.zameen.com/thumbnails/161857646-400x300.jpeg
63 Lakh,5 Marla,Luxury 5 Marla House For Sale In Eden Garden Double Storey,3,2,https://media.zameen.com/thumbnails/161857646-400x300.jpeg
67 Lakh,5 Marla,Signature By Icon Bringing The Finest Of Apartment Living To Lahore,2,2,https://media.zameen.com/thumbnails/161857646-400x300.jpeg
85 Lakh,7 Marla,Triple Storey House For Sale In T Block Lahore Motorway City,4,4,https://media.zameen.com/thumbnails/161857646-400x300.jpeg
92 Lakh,5 Marla,5 marla house for sale in Lahore garden housing scheme black A fresh house for sale,4,6,https://media.zameen.com/thumbnails/163595687-400x300.jpeg
68 Lakh,5 Marla,Prime Location House 5 Marla For Sale In Umer Khan Road,4,3,https://media.zameen.com/thumbnails/163595687-400x300.jpeg
1 Crore,5 Marla,5 Marla Brand New Triple Storey Solid Construction House With All Utilities At 100 Lac Demand With Complete Paint Work In Chinar Bagh Cooperative Society Of Lahore Raiwind Road,5,6,https://media.zameen.com/thumbnails/163595687-400x300.jpeg
90 Lakh,5 Marla,bigli pani,3,3,https://media.zameen.com/thumbnails/163595687-400x300.jpeg
53 Lakh,5 Marla,Apartment for sale on 5 years easy Installments,2,2,https://media.zameen.com/thumbnails/163595687-400x300.jpeg
1 Crore,5 Marla,5 Marla House For Sale,No info given,No info given,https://media.zameen.com/thumbnails/163595687-400x300.jpeg
60 Lakh,5.2 Marla,1175 Square Feet House For Sale In Ichhra Ichhra,No info given,No info given,https://media.zameen.com/thumbnails/163595687-400x300.jpeg
53 Lakh,5 Marla,Flat Is Available For Sale,No info given,No info given,https://media.zameen.com/thumbnails/163595687-400x300.jpeg
80 Lakh,5 Marla,Buying A House In High Court Phase 2 - Block B Lahore?,2,2,https://media.zameen.com/thumbnails/163595687-400x300.jpeg
80 Lakh,5 Marla,Central Cottage Corner Facing Park Is Available For Sale,2,1,https://media.zameen.com/thumbnails/163595687-400x300.jpeg
83 Lakh,6 Marla,6 Marla Flat Near Park 2nd Floor Flat For Sale,2,2,https://media.zameen.com/thumbnails/163595687-400x300.jpeg
87 Lakh,5 Marla,5 Marla double storey house for sale Khayaban E Amin,3,2,https://media.zameen.com/thumbnails/163595687-400x300.jpeg
